index	char	legacy_char
0	가	가
1	각	각
2	간	간
3	갇	갇
4	갈	갈
5	감	감
6	갑	갑
7	값	값
8	갓	갓
9	갔	갔
10	강	강
11	갖	갖
12	같	같
13	갚	갚
14	갛	갛
15	개	개
16	객	객
17	갠	갠
18	갤	갤
19	갬	갬
20	갭	갭
21	갯	갯
22	갰	갰
23	갱	갱
24	갸	갸
25	갹	갹
26	갼	갼
27	걀	걀
28	걍	걍
29	거	거
30	걱	걱
31	건	건
32	걷	걷
33	걸	걸
34	검	검
35	겁	겁
36	것	것
37	겄	겄
38	겅	겅
39	겉	겉
40	겊	겊
41	겋	겋
42	게	게
43	겐	겐
44	겔	겔
45	겜	겜
46	겝	겝
47	겟	겟
48	겠	겠
49	겡	겡
50	겨	겨
51	격	격
52	겪	겪
53	견	견
54	결	결
55	겸	겸
56	겹	겹
57	겻	겻
58	겼	겼
59	경	경
60	곁	곁
61	계	계
62	곈	곈
63	곌	곌
64	고	고
65	곡	곡
66	곤	곤
67	곧	곧
68	골	골
69	곰	곰
70	곱	곱
71	곳	곳
72	공	공
73	과	과
74	곽	곽
75	관	관
76	괄	괄
77	괌	괌
78	광	광
79	괘	괘
80	괜	괜
81	괴	괴
82	괵	괵
83	괸	괸
84	괼	괼
85	굄	굄
86	굉	굉
87	교	교
88	굔	굔
89	굘	굘
90	구	구
91	국	국
92	군	군
93	굳	굳
94	굴	굴
95	굼	굼
96	굽	굽
97	굿	굿
98	궁	궁
99	궂	궂
100	궈	궈
101	권	권
102	궐	궐
103	궝	궝
104	궤	궤
105	귀	귀
106	귄	귄
107	귈	귈
108	규	규
109	균	균
110	귤	귤
111	그	그
112	극	극
113	근	근
114	글	글
115	긁	긁
116	금	금
117	급	급
118	긋	긋
119	긍	긍
120	긔	긔
121	기	기
122	긱	긱
123	긴	긴
124	긷	긷
125	길	길
126	김	김
127	깁	깁
128	깃	깃
129	깅	깅
130	깆	깆
131	깊	깊
132	까	까
133	깍	깍
134	깎	깎
135	깐	깐
136	깔	깔
137	깜	깜
138	깝	깝
139	깠	깠
140	깡	깡
141	깥	깥
142	깨	깨
143	깬	깬
144	깼	깼
145	꺄	꺄
146	꺼	꺼
147	꺽	꺽
148	꺾	꺾
149	껀	껀
150	껄	껄
151	껌	껌
152	껍	껍
153	껏	껏
154	껑	껑
155	께	께
156	껜	껜
157	껴	껴
158	껸	껸
159	꼈	꼈
160	꼬	꼬
161	꼭	꼭
162	꼰	꼰
163	꼴	꼴
164	꼼	꼼
165	꼽	꼽
166	꽁	꽁
167	꽂	꽂
168	꽃	꽃
169	꽈	꽈
170	꽉	꽉
171	꽝	꽝
172	꽤	꽤
173	꾀	꾀
174	꾜	꾜
175	꾸	꾸
176	꾼	꾼
177	꿀	꿀
178	꿇	꿇
179	꿈	꿈
180	꿉	꿉
181	꿔	꿔
182	꿰	꿰
183	뀌	뀌
184	뀐	뀐
185	뀔	뀔
186	뀝	뀝
187	끄	끄
188	끅	끅
189	끈	끈
190	끊	끊
191	끌	끌
192	끓	끓
193	끔	끔
194	끗	끗
195	끙	끙
196	끝	끝
197	끼	끼
198	끽	끽
199	낀	낀
200	낄	낄
201	낌	낌
202	낑	낑
203	나	나
204	낙	낙
205	낚	낚
206	난	난
207	낟	낟
208	날	날
209	낡	낡
210	남	남
211	납	납
212	낫	낫
213	났	났
214	낭	낭
215	낮	낮
216	낯	낯
217	낱	낱
218	낳	낳
219	내	내
220	낵	낵
221	낸	낸
222	낼	낼
223	냄	냄
224	냅	냅
225	냈	냈
226	냉	냉
227	냐	냐
228	냑	냑
229	냔	냔
230	냘	냘
231	냠	냠
232	냥	냥
233	너	너
234	넉	넉
235	넋	넋
236	넌	넌
237	널	널
238	넓	넓
239	넘	넘
240	넙	넙
241	넛	넛
242	넜	넜
243	넝	넝
244	넣	넣
245	네	네
246	넥	넥
247	넨	넨
248	넬	넬
249	넴	넴
250	넵	넵
251	넷	넷
252	넸	넸
253	넹	넹
254	녀	녀
255	녁	녁
256	년	년
257	녈	녈
258	념	념
259	녑	녑
260	녔	녔
261	녕	녕
262	녜	녜
263	녠	녠
264	노	노
265	녹	녹
266	논	논
267	놀	놀
268	놈	놈
269	놉	놉
270	놋	놋
271	농	농
272	높	높
273	놓	놓
274	놔	놔
275	놘	놘
276	놜	놜
277	놨	놨
278	뇌	뇌
279	뇐	뇐
280	뇔	뇔
281	뇨	뇨
282	뇬	뇬
283	뇰	뇰
284	뇽	뇽
285	누	누
286	눅	눅
287	눈	눈
288	눌	눌
289	눔	눔
290	눕	눕
291	눗	눗
292	눙	눙
293	눠	눠
294	뉘	뉘
295	뉜	뉜
296	뉴	뉴
297	느	느
298	늑	늑
299	는	는
300	늘	늘
301	늠	늠
302	늡	늡
303	늣	늣
304	능	능
305	늦	늦
306	늪	늪
307	늬	늬
308	늰	늰
309	늴	늴
310	니	니
311	닉	닉
312	닌	닌
313	닐	닐
314	님	님
315	닙	닙
316	닛	닛
317	닝	닝
318	닢	닢
319	다	다
320	닥	닥
321	닦	닦
322	단	단
323	닫	닫
324	달	달
325	닭	닭
326	닮	닮
327	담	담
328	답	답
329	닷	닷
330	닸	닸
331	당	당
332	닿	닿
333	대	대
334	댁	댁
335	댄	댄
336	댈	댈
337	댐	댐
338	댑	댑
339	댔	댔
340	댕	댕
341	댜	댜
342	더	더
343	덕	덕
344	던	던
345	덜	덜
346	덤	덤
347	덥	덥
348	덧	덧
349	덩	덩
350	덮	덮
351	데	데
352	덱	덱
353	덴	덴
354	델	델
355	뎀	뎀
356	뎁	뎁
357	뎃	뎃
358	뎄	뎄
359	뎅	뎅
360	뎌	뎌
361	뎐	뎐
362	뎔	뎔
363	뎠	뎠
364	뎡	뎡
365	뎨	뎨
366	뎬	뎬
367	도	도
368	독	독
369	돈	돈
370	돋	돋
371	돌	돌
372	돔	돔
373	돕	돕
374	돗	돗
375	동	동
376	돠	돠
377	돤	돤
378	돨	돨
379	돼	돼
380	됐	됐
381	되	되
382	된	된
383	될	될
384	됩	됩
385	됴	됴
386	두	두
387	둑	둑
388	둔	둔
389	둘	둘
390	둠	둠
391	둡	둡
392	둣	둣
393	둥	둥
394	둬	둬
395	뒀	뒀
396	뒤	뒤
397	뒨	뒨
398	뒷	뒷
399	듀	듀
400	듄	듄
401	드	드
402	득	득
403	든	든
404	듣	듣
405	들	들
406	듬	듬
407	듭	듭
408	듯	듯
409	등	등
410	듸	듸
411	디	디
412	딕	딕
413	딘	딘
414	딜	딜
415	딤	딤
416	딥	딥
417	딧	딧
418	딨	딨
419	딩	딩
420	딪	딪
421	따	따
422	딱	딱
423	딴	딴
424	딸	딸
425	땀	땀
426	땅	땅
427	때	때
428	땐	땐
429	땠	땠
430	땡	땡
431	떠	떠
432	떡	떡
433	떤	떤
434	떨	떨
435	떴	떴
436	떵	떵
437	떻	떻
438	떼	떼
439	뗀	뗀
440	뗘	뗘
441	또	또
442	똑	똑
443	똔	똔
444	똘	똘
445	똥	똥
446	똬	똬
447	뙤	뙤
448	뚜	뚜
449	뚝	뚝
450	뚠	뚠
451	뚤	뚤
452	뚫	뚫
453	뚱	뚱
454	뛰	뛰
455	뛸	뛸
456	뜨	뜨
457	뜩	뜩
458	뜬	뜬
459	뜯	뜯
460	뜰	뜰
461	뜻	뜻
462	띄	띄
463	띠	띠
464	띤	띤
465	띨	띨
466	띰	띰
467	띵	띵
468	라	라
469	락	락
470	란	란
471	랄	랄
472	람	람
473	랍	랍
474	랏	랏
475	랐	랐
476	랑	랑
477	랖	랖
478	랗	랗
479	래	래
480	랙	랙
481	랜	랜
482	랠	랠
483	램	램
484	랩	랩
485	랫	랫
486	랬	랬
487	랭	랭
488	랴	랴
489	략	략
490	랸	랸
491	량	량
492	러	러
493	럭	럭
494	런	런
495	럴	럴
496	럼	럼
497	럽	럽
498	럿	럿
499	렀	렀
500	렁	렁
501	렇	렇
502	레	레
503	렉	렉
504	렌	렌
505	렐	렐
506	렘	렘
507	렙	렙
508	렛	렛
509	렝	렝
510	려	려
511	력	력
512	련	련
513	렬	렬
514	렴	렴
515	렵	렵
516	렸	렸
517	령	령
518	례	례
519	롄	롄
520	로	로
521	록	록
522	론	론
523	롤	롤
524	롬	롬
525	롭	롭
526	롯	롯
527	롱	롱
528	롸	롸
529	롼	롼
530	뢍	뢍
531	뢰	뢰
532	뢴	뢴
533	뢸	뢸
534	룅	룅
535	료	료
536	룐	룐
537	룔	룔
538	룡	룡
539	루	루
540	룩	룩
541	룬	룬
542	룰	룰
543	룸	룸
544	룹	룹
545	룻	룻
546	룽	룽
547	뤄	뤄
548	뤘	뤘
549	뤼	뤼
550	륀	륀
551	류	류
552	륜	륜
553	률	률
554	륭	륭
555	르	르
556	륵	륵
557	른	른
558	를	를
559	름	름
560	릅	릅
561	릇	릇
562	릉	릉
563	릎	릎
564	리	리
565	릭	릭
566	린	린
567	릴	릴
568	림	림
569	립	립
570	릿	릿
571	링	링
572	마	마
573	막	막
574	만	만
575	많	많
576	말	말
577	맑	맑
578	맘	맘
579	맙	맙
580	맛	맛
581	망	망
582	맞	맞
583	맡	맡
584	맣	맣
585	매	매
586	맥	맥
587	맨	맨
588	맬	맬
589	맴	맴
590	맵	맵
591	맷	맷
592	맸	맸
593	맹	맹
594	맺	맺
595	먀	먀
596	댓	먁
597	먈	먈
598	먕	먕
599	머	머
600	먹	먹
601	먼	먼
602	멀	멀
603	멈	멈
604	멉	멉
605	멋	멋
606	멍	멍
607	메	메
608	멕	멕
609	멘	멘
610	멜	멜
611	멤	멤
612	멥	멥
613	멧	멧
614	멨	멨
615	멩	멩
616	며	며
